legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 6441,"Bliley, Tom [Rep.-R-VA-03]",Republican,10/11/1984,98,VA
H.R. 6438,"Kindness, Thomas N. [Rep.-R-OH-08]",Republican,10/10/1984,98,OH
H.R. 6430,"Bateman, Herbert H. [Rep.-R-VA-01]",Republican,10/10/1984,98,VA
H.R. 6342,"Jones, Walter B. [Rep.-D-NC-01]",Democratic,10/01/1984,98,NC
H.R. 6311,"Fascell, Dante B. [Rep.-D-FL-19]",Democratic,09/26/1984,98,FL
H.R. 6303,"Jones, James R. [Rep.-D-OK-01]",Democratic,09/25/1984,98,OK
H.R. 6299,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,09/25/1984,98,IL
H.R. 6296,"Richardson, Bill [Rep.-D-NM-03]",Democratic,09/24/1984,98,NM
H.R. 6286,"Kastenmeier, Robert W. [Rep.-D-WI-02]",Democratic,09/20/1984,98,WI
H.R. 6257,"Wirth, Timothy [Rep.-D-CO-02]",Democratic,09/17/1984,98,CO
H.R. 6228,"Frank, Barney [Rep.-D-MA-04]",Democratic,09/12/1984,98,MA
H.R. 6225,"Brooks, Jack B. [Rep.-D-TX-09]",Democratic,09/12/1984,98,TX
H.R. 6224,"Dellums, Ronald V. [Rep.-D-CA-08]",Democratic,09/12/1984,98,CA
H.R. 6223,"Fauntroy, Walter E. [Del.-D-DC-00]",Democratic,09/12/1984,98,DC
H.R. 6221,"Synar, Mike [Rep.-D-OK-02]",Democratic,09/11/1984,98,OK
H.R. 6216,"Edwards, Don [Rep.-D-CA-10]",Democratic,09/11/1984,98,CA
H.R. 6206,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,09/10/1984,98,AZ
H.R. 6163,"Kastenmeier, Robert W. [Rep.-D-WI-02]",Democratic,08/10/1984,98,WI
H.R. 6112,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,08/09/1984,98,IL
H.R. 6101,"Oakar, Mary Rose [Rep.-D-OH-20]",Democratic,08/08/1984,98,OH
H.R. 6100,"Mavroules, Nicholas [Rep.-D-MA-06]",Democratic,08/08/1984,98,MA
H.R. 6040,"Whitten, Jamie L. [Rep.-D-MS-01]",Democratic,07/27/1984,98,MS
H.R. 6028,"Natcher, William H. [Rep.-D-KY-02]",Democratic,07/26/1984,98,KY
H.R. 6027,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,07/26/1984,98,NJ
H.R. 6007,"Dymally, Mervyn M. [Rep.-D-CA-31]",Democratic,07/24/1984,98,CA
H.R. 6000,"Taylor, G. [Rep.-R-MO-07]",Republican,06/29/1984,98,MO
H.R. 5997,"Smith, Robert [Rep.-R-OR-02]",Republican,06/29/1984,98,OR
H.R. 5953,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,06/28/1984,98,IL
H.R. 5950,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,06/28/1984,98,IL
H.R. 5890,"Hall, Katie [Rep.-D-IN-01]",Democratic,06/19/1984,98,IN
H.R. 5846,"Boucher, Rick [Rep.-D-VA-09]",Democratic,06/14/1984,98,VA
H.R. 5833,"Biaggi, Mario [Rep.-D-NY-19]",Democratic,06/12/1984,98,NY
H.R. 5832,"Hoyer, Steny H. [Rep.-D-MD-05]",Democratic,06/12/1984,98,MD
H.R. 5818,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,06/11/1984,98,CA
H.R. 5787,"Ortiz, Solomon P. [Rep.-D-TX-27]",Democratic,06/06/1984,98,TX
H.R. 5782,"Hughes, William J. [Rep.-D-NJ-02]",Democratic,06/06/1984,98,NJ
H.R. 5753,"Fazio, Vic [Rep.-D-CA-04]",Democratic,05/31/1984,98,CA
H.R. 5747,"Lloyd, Marilyn [Rep.-D-TN-03]",Democratic,05/30/1984,98,TN
H.R. 5740,"Young, Don [Rep.-R-AK-00]",Republican,05/24/1984,98,AK
H.R. 5728,"Fish, Hamilton, Jr. [Rep.-R-NY-21]",Republican,05/24/1984,98,NY
H.R. 5716,"Latta, Delbert L. [Rep.-R-OH-05]",Republican,05/23/1984,98,OH
H.R. 5713,"Boland, Edward P. [Rep.-D-MA-02]",Democratic,05/23/1984,98,MA
H.R. 5712,"Smith, Neal Edward [Rep.-D-IA-04]",Democratic,05/23/1984,98,IA
H.R. 5692,"Rostenkowski, Dan [Rep.-D-IL-08]",Democratic,05/22/1984,98,IL
H.R. 5691,"Rodino, Peter W., Jr. [Rep.-D-NJ-10]",Democratic,05/21/1984,98,NJ
H.R. 5688,"Montgomery, G. V. (Sonny) [Rep.-D-MS-03]",Democratic,05/21/1984,98,MS
H.R. 5653,"Bevill, Tom [Rep.-D-AL-04]",Democratic,05/15/1984,98,AL
H.R. 5631,"Wilson, Charles [Rep.-D-TX-02]",Democratic,05/09/1984,98,TX
H.R. 5618,"Montgomery, G. V. (Sonny) [Rep.-D-MS-03]",Democratic,05/08/1984,98,MS
H.R. 5604,"Price, Melvin [Rep.-D-IL-21]",Democratic,05/07/1984,98,IL
H.R. 5603,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,05/03/1984,98,CA
H.R. 5576,"Waxman, Henry A. [Rep.-D-CA-24]",Democratic,05/03/1984,98,CA
H.R. 5565,"Fauntroy, Walter E. [Del.-D-DC-00]",Democratic,05/02/1984,98,DC
H.R. 5561,"Won Pat, Antonio B. [Del.-D-GU-00]",Democratic,05/01/1984,98,GU
H.R. 5540,"Weaver, James H. [Rep.-D-OR-04]",Democratic,04/26/1984,98,OR
